# арифметика, округление, формат чисел
div          | 7/2
mod          | 7%3
mod_neg      | -7%3
pow          | 2^10
pow_frac     | 8^(1/3)
sqrt2        | sqrt(2)
round_half   | round(2.5, 0)
round_neg    | round(-2.5, 0)
round2       | round(3.14159, 2)
trunc_neg    | trunc(-2.7)
sgn          | sgn(-3)
abs          | abs(-4.5)
sin_pi       | sin(pi)
exp1         | exp(1)
ln10         | ln(10)
lg100        | lg(100)
third        | 1/3
tenth        | 0.1
big          | 1e20
long_int     | 123456789012
neg_half     | -0.5
tiny         | 0.0000001
pi           | pi
max          | max(3, 7)
min          | min(3, 7)
limit        | limit(15, 0, 10)
